"Full Complaint ID","Complaint Year Number","Month Number","Record Create Date","Complaint Precinct Code","Patrol Borough Name","County","Law Code Category Description","Offense Description","PD Code Description","Bias Motive Description","Offense Category","Arrest Date","Arrest Id"
"202506012176017","2025","2","02/13/2025","60","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506012749417","2025","8","08/22/2025","60","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506012823917","2025","9","09/17/2025","60","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506112089917","2025","1","01/08/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506112202917","2025","2","02/28/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506112275417","2025","3","03/29/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506112636117","2025","8","09/08/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506112654917","2025","9","09/15/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506112758617","2025","10","10/30/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506112838117","2025","12","12/05/2025","61","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506212225417","2025","3","03/10/2025","62","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506212409417","2025","5","05/21/2025","62","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506212437817","2025","6","06/02/2025","62","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506212816717","2025","11","11/05/2025","62","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506312292917","2025","5","05/04/2025","63","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506312581917","2025","9","09/25/2025","63","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612215417","2025","3","03/17/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612244517","2025","4","04/01/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612324217","2025","5","05/13/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612340117","2025","5","05/21/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612391217","2025","6","06/19/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612488517","2025","8","08/15/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612542317","2025","9","09/18/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612583117","2025","10","10/08/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612597217","2025","10","10/17/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612632517","2025","11","11/05/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612674417","2025","11","11/28/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506612697317","2025","12","12/12/2025","66","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202506712638117","2025","5","05/18/2025","67","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202507012103617","2025","1","01/13/2025","70","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202507012783417","2025","9","09/26/2025","70","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202507112232117","2025","3","03/26/2025","71","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202507212294017","2025","4","04/20/2025","72","PATROL BORO BKLYN SOUTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202507312346817","2025","3","03/24/2025","73","PATROL BORO BKLYN NORTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202507912543717","2025","6","06/19/2025","79","PATROL BORO BKLYN NORTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
"202507912573817","2025","6","06/29/2025","79","PATROL BORO BKLYN NORTH","KINGS","FELONY","MISCELLANEOUS PENAL LAW","AGGRAVATED HARASSMENT 1","ANTI-JEWISH","Religion/Religious Practice",,
